trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2017-01-03,399300.SZ,3342.2272,3313.9534,3345.2629,3313.9534,3310.0808,32.1464,0.9712,86567896.0,87612765.7
2017-01-04,399300.SZ,3368.3117,3340.5576,3369.5658,3338.1527,3342.2272,26.0845,0.7805,90050827.0,98014355.4
2017-01-05,399300.SZ,3367.7892,3368.3402,3373.4119,3361.462,3368.3117,-0.5225,-0.0155,88336357.0,91189339.5
2017-01-06,399300.SZ,3347.6665,3366.8522,3368.8705,3346.8914,3367.7892,-20.1227,-0.5975,87459114.0,91072256.7
2017-01-09,399300.SZ,3363.9014,3345.7483,3366.2219,3344.3472,3347.6665,16.2349,0.485,83707942.0,87916115.2
2017-01-10,399300.SZ,3358.2716,3361.6394,3370.5051,3354.0878,3363.9014,-5.6298,-0.1674,83819160.0,82533965.0
2017-01-11,399300.SZ,3334.4954,3355.8008,3366.6315,3334.2978,3358.2716,-23.7762,-0.708,91071438.0,86750457.1
2017-01-12,399300.SZ,3317.6241,3332.6857,3343.1279,3315.9629,3334.4954,-16.8713,-0.506,81239135.0,75031886.8
2017-01-13,399300.SZ,3319.9122,3317.9625,3338.174,3309.3741,3317.6241,2.2881,0.069,84180589.0,84556101.4
2017-01-16,399300.SZ,3319.4455,3314.1507,3322.7819,3264.2071,3319.9122,-0.4667,-0.0141,157779135.0,153262520.1
2017-01-17,399300.SZ,3326.3563,3305.6001,3327.3767,3292.2044,3319.4455,6.9108,0.2082,69453328.0,74754505.6
2017-01-18,399300.SZ,3339.3653,3323.3389,3350.9619,3320.4062,3326.3563,13.009,0.3911,70623227.0,75680677.2
2017-01-19,399300.SZ,3329.2891,3330.9522,3346.4959,3324.6835,3339.3653,-10.0762,-0.3017,66159808.0,63869709.1
2017-01-20,399300.SZ,3354.8891,3326.9773,3358.4121,3326.374,3329.2891,25.6,0.7689,65300462.0,70831324.3
2017-01-23,399300.SZ,3364.0808,3359.0543,3378.7388,3355.8475,3354.8891,9.1917,0.274,75557498.0,76492660.1
2017-01-24,399300.SZ,3364.4509,3363.1374,3371.32,3355.899,3364.0808,0.3701,0.011,66194226.0,66049651.2
2017-01-25,399300.SZ,3375.9042,3361.6561,3376.4415,3357.2183,3364.4509,11.4533,0.3404,58376931.0,62483395.8
2017-01-26,399300.SZ,3387.9606,3378.2609,3395.8848,3378.2609,3375.9042,12.0564,0.3571,65316647.0,66488818.3
2017-02-03,399300.SZ,3364.4923,3390.9315,3392.4773,3362.5653,3387.9606,-23.4683,-0.6927,55188861.0,57113853.2
2017-02-06,399300.SZ,3373.2051,3368.1081,3381.3348,3358.7516,3364.4923,8.7128,0.259,68521360.0,73408134.7
2017-02-07,399300.SZ,3365.6849,3371.7695,3376.7099,3354.6251,3373.2051,-7.5202,-0.2229,63754462.0,69758178.9
2017-02-08,399300.SZ,3383.2878,3361.7811,3383.6859,3347.4302,3365.6849,17.6029,0.523,75402879.0,82869735.7
2017-02-09,399300.SZ,3396.2924,3381.8992,3406.5888,3379.7872,3383.2878,13.0046,0.3844,97558515.0,102134228.6
2017-02-10,399300.SZ,3413.4868,3398.3173,3422.3256,3398.0295,3396.2924,17.1944,0.5063,123768720.0,121908580.2
2017-02-13,399300.SZ,3436.275,3416.9168,3439.5432,3416.8746,3413.4868,22.7882,0.6676,120144538.0,125332998.8
2017-02-14,399300.SZ,3435.8042,3438.511,3440.6748,3424.4028,3436.275,-0.4708,-0.0137,94809465.0,98537165.4
2017-02-15,399300.SZ,3421.7131,3435.3882,3448.0322,3417.0811,3435.8042,-14.0911,-0.4101,127643338.0,124653179.4
2017-02-16,399300.SZ,3440.9331,3421.8299,3440.9331,3418.3514,3421.7131,19.22,0.5617,108276962.0,101809767.5
2017-02-17,399300.SZ,3421.4419,3443.6166,3457.5562,3419.6143,3440.9331,-19.4912,-0.5665,114600036.0,118033129.6
2017-02-20,399300.SZ,3471.3926,3421.6434,3472.6035,3421.6434,3421.4419,49.9507,1.4599,132628862.0,134681505.1
2017-02-21,399300.SZ,3482.823,3475.0584,3490.0855,3472.017,3471.3926,11.4304,0.3293,114842009.0,120675429.5
2017-02-22,399300.SZ,3489.7567,3483.2008,3489.946,3473.524,3482.823,6.9337,0.1991,102815994.0,109232425.8
2017-02-23,399300.SZ,3473.3236,3487.5745,3492.9616,3460.118,3489.7567,-16.4331,-0.4709,99536330.0,106555922.4
2017-02-24,399300.SZ,3473.8517,3468.9588,3473.8517,3455.2514,3473.3236,0.5281,0.0152,95535133.0,99875164.7
2017-02-27,399300.SZ,3446.2228,3471.1319,3472.8356,3441.3938,3473.8517,-27.6289,-0.7953,98672160.0,106830874.5
2017-02-28,399300.SZ,3452.8103,3445.0274,3460.9089,3441.3589,3446.2228,6.5875,0.1912,75215260.0,81979307.3
2017-03-01,399300.SZ,3458.4376,3452.2058,3472.6962,3449.109,3452.8103,5.6273,0.163,103260354.0,109317781.3
2017-03-02,399300.SZ,3435.0963,3463.4829,3468.471,3434.001,3458.4376,-23.3413,-0.6749,89898077.0,97876187.9
2017-03-03,399300.SZ,3427.8628,3424.6627,3428.8824,3412.8312,3435.0963,-7.2335,-0.2106,80994652.0,90009618.8
2017-03-06,399300.SZ,3446.484,3427.2533,3449.0342,3425.9041,3427.8628,18.6212,0.5432,83070882.0,95178548.4
2017-03-07,399300.SZ,3453.9565,3446.1628,3454.0386,3440.0574,3446.484,7.4725,0.2168,80334720.0,94483824.2
2017-03-08,399300.SZ,3448.7313,3452.2006,3457.0351,3441.2575,3453.9565,-5.2252,-0.1513,79587690.0,89124904.6
2017-03-09,399300.SZ,3426.9438,3442.8953,3443.0455,3414.6782,3448.7313,-21.7875,-0.6318,84570381.0,90090049.4
2017-03-10,399300.SZ,3427.8916,3423.9776,3436.2388,3423.9369,3426.9438,0.9478,0.0277,70016199.0,82161714.9
2017-03-13,399300.SZ,3458.098,3425.6723,3458.098,3412.6879,3427.8916,30.2064,0.8812,91684124.0,108489140.9
2017-03-14,399300.SZ,3456.6934,3456.6584,3465.3915,3448.9034,3458.098,-1.4046,-0.0406,77077963.0,95317564.1
2017-03-15,399300.SZ,3463.6436,3452.2139,3463.9191,3445.2676,3456.6934,6.9502,0.2011,79104954.0,94056256.6
2017-03-16,399300.SZ,3481.5066,3472.2694,3492.1267,3472.2694,3463.6436,17.863,0.5157,106333913.0,124695573.6
2017-03-17,399300.SZ,3445.8051,3485.3114,3488.4969,3441.4685,3481.5066,-35.7015,-1.0255,103755560.0,122368918.5
2017-03-20,399300.SZ,3449.6126,3449.0515,3454.063,3429.8254,3445.8051,3.8075,0.1105,88734322.0,103769403.8
2017-03-21,399300.SZ,3466.3468,3449.7696,3466.7026,3445.6416,3449.6126,16.7342,0.4851,87707855.0,113528201.3
2017-03-22,399300.SZ,3450.0502,3450.7544,3464.3328,3433.4994,3466.3468,-16.2966,-0.4701,104935894.0,123865640.3
2017-03-23,399300.SZ,3461.9782,3452.4056,3470.8164,3435.6912,3450.0502,11.928,0.3457,94318062.0,115813813.7
2017-03-24,399300.SZ,3489.5997,3464.1966,3499.3179,3461.1108,3461.9782,27.6215,0.7979,125645833.0,141752526.6
2017-03-27,399300.SZ,3478.0385,3488.7647,3505.9789,3474.5206,3489.5997,-11.5612,-0.3313,107015377.0,124388012.1
2017-03-28,399300.SZ,3469.8093,3480.249,3482.2923,3461.4678,3478.0385,-8.2292,-0.2366,84194820.0,97495938.7
2017-03-29,399300.SZ,3465.1933,3472.9665,3483.0571,3455.5529,3469.8093,-4.616,-0.133,104851706.0,114663468.2
2017-03-30,399300.SZ,3436.758,3461.6159,3467.3049,3422.366,3465.1933,-28.4353,-0.8206,116376922.0,122088021.6
2017-03-31,399300.SZ,3456.0455,3434.8222,3456.3051,3430.8197,3436.758,19.2875,0.5612,91577491.0,100984904.8
2017-04-05,399300.SZ,3503.8932,3476.4231,3504.5379,3475.1486,3456.0455,47.8477,1.3845,143399017.0,160742981.1
2017-04-06,399300.SZ,3514.0469,3507.9879,3517.7779,3495.7246,3503.8932,10.1537,0.2898,136767004.0,145221644.1
2017-04-07,399300.SZ,3517.4634,3514.4521,3526.815,3506.3885,3514.0469,3.4165,0.0972,140293204.0,144559675.5
2017-04-10,399300.SZ,3505.1392,3519.4597,3522.7955,3502.0826,3517.4634,-12.3242,-0.3504,141887380.0,155747834.5
